"NUMBER","INETSDESC","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"FBABL02             ","4 1/4"" x 7 1/2"" Brass Hand bell                                                                                         ","15","0.8","27.95",,0,"FBABL02.jpg                              ",0
"FBABL03             ","6 1/2"" x 9"" Brass Hand bell                                                                                             ","10","2.2","66.95",,0,"FBABL03.jpg                              ",0
"FBABX01             ","4 1/2"" x 6 1/4"" x 3 3/4"" Green antique wood box                                                                         ","26","0.8","12.95",,0,"FBABX01.jpg                              ",0
"FBABX02             ","4 1/2"" x 6 1/4"" x 3 3/4"" antique wood box                                                                               ","32","0.8","12.95",,0,"FBABX02.jpg                              ",0
"FBABX03             ","14"" x 11"" x 5"" antique wood box                                                                                         ","14","7","55.95",,0,"FBABX03.jpg                              ",0
"FBABX04             ","(set of 2) antique wood box                                                                                             ","11","1.2","20.95",,0,"FBABX04.jpg                              ",0
"FBABX05             ","2 1/4"" x 3"" x 2 1/4"" antique wood box                                                                                   ","41","0.2","4.95",,0,"FBABX05.jpg                              ",0
"FBABX06             ","4"" x 5 1/2"" x 3 3/4"" antique wood box                                                                                   ","0","0.8","8.95",3/6/2026 0:00:00,0,"FBABX06.jpg                              ",0
"FBB25               ","Brass Inlaid Box (various designs)                                                                                      ","272","0.2","5.95",,0,"FBB25.jpg                                ",0
"FBB30               ","(set of 2) 2 1/2"" Tree of Life box                                                                                      ","34","0.2","9.95",,0,"FBB30.jpg                                ",0
"FBB90               ","Tree of Life herb box 6"" x 9""                                                                                           ","7","2.1","40.95",,0,"FBB90.JPG                                ",0
"FBMT14              ","7"" x 7"" x 3 1/2"" Zodiac Moon Phase wood box                                                                             ","9","2","40.95",,0,"FBMT14.jpg                               ",0
"FBRB01              ","4"" Eye of Dragon box                                                                                                    ","22","1","17.95",,0,"FBRB01.jpg                               ",0
"FBRB03              ","5"" Celtic Dragon box                                                                                                    ","15","1.7","29.95",,0,"FBRB03.jpg                               ",0
"FBREVI              ","9"" Broom Evil Eye Fatima Hand                                                                                           ","6","2","9.95",,0,"FBREVII.jpg                              ",0
"FBRM001             ","9 1/2"" Celtic Triple Goddess broom                                                                                      ","39","0.2","20.95",,0,"FBRM001.jpg                              ",0
"FBRM002             ","9 1/2"" Pentagram broom                                                                                                  ","21","0.2","20.95",,0,"FBRM002.jpg                              ",0
"FBRM003             ","7*8"" Witch broom                                                                                                        ","46","0.2","19.95",,0,"FBRM003.jpg                              ",0
"FBRM004             ","7 1/2"" Angel W Crystal broom                                                                                            ","11","0.2","21.95",,0,"FBRM004.jpg                              ",0
"FBRM011             ","7"" amethyst W Crystal broom                                                                                             ","17","0.2","21.95",,0,"FBRM011.jpg                              ",0
"FBRM012             ","6"" Triple Moon broom                                                                                                    ","13","0.1","21.95",,0,"FBRM012.jpg                              ",0
"FBRM013             ","8"" Pentagram broom                                                                                                      ","16","0.1","21.95",,0,"FBRM013.jpg                              ",0
"FBRM014             ","6"" Triple Moon & Pentagram broom                                                                                        ","20","0.1","21.95",,0,"FBRM014.jpg                              ",0
"FBRM016             ","12 1/2"" Triple Moon Crystal broom                                                                                       ","6","0.5","23.95",,0,"FBRM016.jpg                              ",0
"FBRM017             ","12"" Pentagram Crystal broom                                                                                             ","5","0.5","23.95",,0,"FBRM017.jpg                              ",0
"FBRM018             ","12"" Triple Moon Crystal broom                                                                                           ","24","0.5","23.95",,0,"FBRM018.jpg                              ",0
"FBRM019             ","10"" Triple Moon Crystal broom                                                                                           ","27","0.6","39.95",,0,"FBRM019.jpg                              ",0
"FBRM020             ","10 1/2"" Pentagram Crystal broom                                                                                         ","9","0.6","39.95",,1,"FBRM020.jpg                              ",0
"FBRM023             ","(set of 6) 6"" broom                                                                                                     ","8","0.2","31.95",,0,"FBRM023.jpg                              ",0
