Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
oe2prot-2dr-protection-oil,2dr Protection oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. This oil may be used as an all around protection with intention.",AzureGreen,Metaphysical Supplies,"Best Sellers,2 dr Espiritu,Protection & Cleansing,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2PROT,45,shopify,117,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Protection oil,FALSE,active
oe2pur-2dr-purification-oil,2dr Purification oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Purification oil may be used for removal of negative energies and its a spiritual cleansing agent.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Protection & Cleansing,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2PUR,45,shopify,0,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Purification oil,FALSE,active
oe2quew-2dr-queen-of-the-witches-oil,2dr Queen of the Witches oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. This oil may be used to invoke Aradia that was sent to earth to teach witchcraft and set all free.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2QUEW,45,shopify,48,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Queen of the Witches oil,FALSE,active
oe2quim-2dr-quick-money-oil,2dr Quick Money oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Quick  Money oil may be used to manifest unexpected financial needs.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Abundance, Prosperity, & Money,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2QUIM,45,shopify,0,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Quick Money oil,FALSE,active
oe2rettm-2dr-return-to-me-oil,2dr Return To Me oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Return To Me oil may be used to bring back the one that got away.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2RETTM,45,shopify,35,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Return To Me oil,FALSE,active
oe2rev-2dr-reversible-oil,2dr Reversible oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Reversible oil may be used to reverse what ever was sent to you by an enemy.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2REV,45,shopify,47,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Reversible oil,FALSE,active
oe2roao-2dr-road-opener-oil,2dr Road Opener oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Road Opener oil may be used to help manifest new opportunities into your life.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2ROAO,45,shopify,42,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Road Opener oil,FALSE,active
oe2ros-2dr-rose-oil,2dr Rose oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rose oil may be used to bring balance, luck, health and love into your practice.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Love & Relationships,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2ROS,45,shopify,14,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Rose oil,FALSE,active
oe2rosm-2dr-rosemary-oil,2dr Rosemary oil,"Our Rosemary oil captures the essence of the herb of the same name, leaving it with many of the same properties and powers. As such, this makes it a fantastic addition to spells and rituals of remembrance, used to anoint ritual tools and candles to provide a boost to the memory. This can be particularly useful when mingled with spells involving dreams. Further, this oil also makes a great aid in spells and rituals when you are seeking a boost to your energy, physical, spiritual, or otherwise. In addition to these wonderful attributes, our Rosemary Oil is also frequently used in representation of the astrological signs of Scorpio, Sagittarius, and the element of Earth, allowing you to draw the properties and powers of the element and signs into your ritual craft. This is a 2dr bottle of pure anointing oil, for external use only. Made in USA.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2ROSM,45,shopify,34,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Rosemary oil,FALSE,active
oe2rue-2dr-rue-oil,2dr Rue oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rue oil maybe used to aid in removal of a jinx or curse in your home or environment. Inviting in a peaceful vibration.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2RUE,45,shopify,37,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Rue oil,FALSE,active
oe2san-2dr-sandalwood-oil,2dr Sandalwood oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sandalwood oil may be used to help manifest safety, peace and health in your practice.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2SAN,45,shopify,99,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Sandalwood oil,FALSE,active
oe2sanm-2dr-santa-muerte-oil,2dr Santa Muerte oil,"Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Santa Muerte oil may used to honor and pray to the beloved Santa Muerte whom you can call to in your time of need for help, healing and justice.",AzureGreen,Metaphysical Supplies,"2 dr Espiritu,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,OE2SANM,45,shopify,29,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/OE2_ESPIRITU.JPG,1,2dr Santa Muerte oil,FALSE,active
