Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
h16ginrc-ginger-root-split-1oz-zingiber-officinale,Ginger Root split 1oz  (Zingiber officinale),"Ginger Root or Zingiber Officinale a tropical plant native to Asia. Long history of use in the culinary world as well as a popular ingredient in Ayurveda holistic healing. In magical practices it is used for new experiences, adventure, promoting sensuality, sexuality, confidence, and prosperity. In cut form with a pungent scent to be stored in a sealed container away from light, heat, and humidity. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Love, Attraction & Relationships,Good Luck, Prosperity & Manifesting,Empower Spells & Sorcery,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16GINRC,54,shopify,117,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HGINRC.jpg,1,Ginger Root split 1oz  (Zingiber officinale),FALSE,active
h16ginsp-ginseng-powder-1oz-siberian-eleutherococcus,"Ginseng Powder 1oz. ""Siberian"" (Eleutherococcus)","Ginseng Powder or Siberian Ginseng carrying holistic healing properties. Ginseng is known to have warm, energizing effect. In magic it is used in love, beauty, protection, healing spells and helps improve exercise performance. No detectable scent and to be stored in an airtight container away from light, heat, and humidity. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Protection & Evil Eye,Healing & Health,Love, Attraction & Relationships,Energy, Power & Motivation,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16GINSP,45,shopify,191,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HGINRP.jpg,1,"Ginseng Powder 1oz. ""Siberian"" (Eleutherococcus)",FALSE,active
h16haww-hawthorn-berries-whole-1oz-crataegus-laevigata,Hawthorn Berries whole 1oz  (Crataegus laevigata),"Hawthorn Berries or Crataegus Laevigata, also known as Haws. Native to Europe and used in food preparation for centuries. In magic practices it has a variety of uses including chastity, fertility, fairy magick, rebirth, happiness and success. In berry form with a mild fruity scent to be stored in a sealed container in a dark, cool place. 1oz Wild Crafted",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Money & Success,New Beginnings, Rebirth, & Fertility,Sexual Functions, Lust, & Virility,Peace, Happiness & Relaxation,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HAWW,45,shopify,42,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HHAWW_Bt.jpg,1,Hawthorn Berries whole 1oz  (Crataegus laevigata),FALSE,active
h16hibw-hibiscus-flower-whole-1oz-hibiscus-sabdariffa,Hibiscus Flower whole 1oz  (Hibiscus sabdariffa),"Hibiscus Flower or Hibiscus Sabdariffa, also known as Rose Mallow and is native to Egypt. Used traditionally in the culinary field and the flowers are used in decorating. In magic practices it is used for attracting love, and for divination and dreaming. Flower form to be stored in a sealed container in a cool, dark place. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Psychic Powers/Development & Divination,Dreams & Sleep,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HIBW,136,shopify,148,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HHIBW_Bt.jpg,1,Hibiscus Flower whole 1oz  (Hibiscus sabdariffa),FALSE,active
h16higc-high-john-1oz-ipomoea-jalapa,High John 1oz (Ipomoea jalapa),"High John or Ipomoea Jalapa is a member of the Morning Glory family. In magical practices it is a powerful component in spell work around luck, prosperity, sex drive, happiness and to help win in court. Whole root form to be stored in a sealed container in a cool, dark place. 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Sexual Functions, Lust, & Virility,Court & Legal Issues,Good Luck, Prosperity & Manifesting,Peace, Happiness & Relaxation,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HIGC,136,shopify,0,deny,manual,20.73,,TRUE,TRUE,,https://www.azuregreen.net/images/HHIGC_Bt.jpg,1,High John 1oz (Ipomoea jalapa),FALSE,active
h16hopw-hops-flowers-whole-1oz-humulus-lupulus,Hops Flowers whole 1oz  (Humulus lupulus),"Hops or Humulus Iupulus originating in the United States. Many Centuries of use in beer production. A member of the Cannabis and Hemp family and can assist you in relaxing. In magic practices it may be used to assist you in sleep, dreams, healing and restfulness. Flower form to be stored in a sealed container away from light, heat, and humidity. 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Healing & Health,Peace, Happiness & Relaxation,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HOPW,90,shopify,76,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HHOPW_Bt.jpg,1,Hops Flowers whole 1oz  (Humulus lupulus),FALSE,active
h16horc-horehound-cut-1oz-marrubium-vulgare,Horehound cut 1oz  (Marrubium vulgare),"Horehound or Marrubium Vulgare also known as White Horehound, originating in Europe. Used for Centuries to produce items to help with respiratory and gastrointestinal issues. In magic practices it is sacred to Horus and can help with protection, mental powers, exorcism, healing, mental clarity especially when doing rituals, creativity, and balancing of energies. In cut form with a mild scent to be stored in a sealed container in a cool, dark place. 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Healing & Health,Psychic Powers/Development & Divination,Blocks, Obstacles & Change,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HORC,90,shopify,67,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HHORC_Bt.jpg,1,Horehound cut 1oz  (Marrubium vulgare),FALSE,active
h16horgp-horny-goat-weed-powder-1oz-epimedium-grandiflorum,Horny Goat Weed powder 1oz  (Epimedium grandiflorum),"Horny Goat or Epimedium Grandiflorum. A common herb used medicinally for sexual performance issues, sex drive, pain, fatigue and memory loss. In magic practices it may be used to enhance libido in men and women, sexual functions, and used to honor the Fertility or the God and bring his energies into rituals. Powder form to be stored in a sealed container in a cool, dark place. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Energy, Power & Motivation,New Beginnings, Rebirth, & Fertility,Sexual Functions, Lust, & Virility,Empower Spells & Sorcery,Focus, Mental Powers & Memory,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HORGP,45,shopify,56,deny,manual,14.23,,TRUE,TRUE,,https://www.azuregreen.net/images/HHORGPt.jpg,1,Horny Goat Weed powder 1oz  (Epimedium grandiflorum),FALSE,active
h16hysc-hyssop-cut-1oz-hyssopus-officinalis,Hyssop cut 1oz  (Hyssopus officinalis),"Hyssop or Hyssopus Officianlis and also known as the ""holy herb"" native to Europe. This herb is thousands of years old and is referenced in the bible as a ""purging herb"". Used in Egypt for its protection properties. In magic practices today it may assist you in cleansing, purification, and protection. Cut form to be stored in a sealed container in a cool, dark place. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Cleansing & Purification,Protection & Evil Eye,Blocks, Obstacles & Change,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16HYSC,136,shopify,90,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HHYSC.jpg,1,Hyssop cut 1oz  (Hyssopus officinalis),FALSE,active
h16irimc-irish-moss-cut-1oz-wild-crafted,Irish Moss cut 1oz wild crafted,"Irish Moss also known as Carrageen Moss or Chondracanthus Chamissoi, originating in Peru. A type of red algae that has a rich source of protein and various minerals. Used in the makeup and food industry to help bind. In spell work it is used for luck, money, protection, and in water magic. 1oz wild crafted, cut and sifted, to be stored in a sealed container in a cool dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Good Luck, Prosperity & Manifesting,All Herb Accessories,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16IRIMC,90,shopify,39,deny,manual,7.74,,TRUE,TRUE,,https://www.azuregreen.net/images/HIRIMCB.jpg,1,Irish Moss cut 1oz wild crafted,FALSE,active
