Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
jbg557-jade-nephrite-nugget-bracelet,"Jade, Nephrite nugget bracelet","A Nephrite Jade nugget bracelet filled with loving energy. Nephrite Jade works with the heart chakra, balancing of the masculine and feminine energies. It is a protective stone that helps dysfunctional relationships, transmutes negative energy into positive and promotes confidence. Nugget beaded bracelet from China",AzureGreen,Metaphysical Supplies,"Best Sellers,All Jewelry,Bracelets,Stone & Crystal Chip & Nugget Bracelets,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBG557,90,shopify,121,deny,manual,12.93,,TRUE,TRUE,,https://www.azuregreen.net/images/JBG557.jpg,1,"Jade, Nephrite nugget bracelet",FALSE,active
jbg7cha-7-chakra-w-tassel-nugget-adjustable-bracelet,7 Chakra w tassel Nugget adjustable bracelet,"Wear the stones of the 7 Chakras and feel the energetic alignment throughout your day. This is an attractive bracelet with an adjustable cording. Amethyst, Lapis, Blue Agate, Green Aventurine, Yellow Onyx, Carnelian, and Red Jasper. From India",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Bracelets,Chakra Stone Bracelets,Bracelets,Chakra, Meditation, & Reiki Products,Chakra & Reiki,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBG7CHA,90,shopify,2532,deny,manual,11.63,,TRUE,TRUE,,https://www.azuregreen.net/images/JBG7CHA.jpg,1,7 Chakra w tassel Nugget adjustable bracelet,FALSE,active
jbgagabl-agate-blue-lace-nugget-bracelet,"Agate, Blue Lace Nugget bracelet","Blue Lace Agate 6-8mm nugget beaded bracelet. Blue Lace Agate is the stone of communication making it easier to hear and be heard. This crystal can assist us in bringing us back to our natural state of joy. Ease the pain and confusion of everyday life, as this will help heal and open up or energy channels to unconditional love. Helps with clarity of thought as well as speaking your truth, and with anxiety relief in social situations. Made in China.",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Love & Relationships,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGAGABL,90,shopify,92,deny,manual,10.34,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGAGABL.jpg,1,"Agate, Blue Lace Nugget bracelet",FALSE,active
jbgame-amethyst-nugget-bracelet,Amethyst Nugget bracelet,"Allow this Amethyst nugget bracelet to work its magic throughout your day. Amethyst may assist you in happiness, calming fear, emotional storms, courage, love, peace, addiction, dreams, helps with insomnia and nightmares, and considered the ""stone of peace"". From China",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Bracelets,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Love & Relationships,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGAME,90,shopify,96,deny,manual,10.34,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGAME.jpg,1,Amethyst Nugget bracelet,FALSE,active
jbgamec-amethyst-chevron-nugget-bracelet,"Amethyst, Chevron Nugget bracelet","A great healing combination of Quartz and Chevron Amethyst nugget bracelet. Great healing properties of these stones include, purifying, stress relieving, self discovery, peace of mind, relaxation, the immune system and cleansing of your aura.",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Bracelets,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGAMEC,90,shopify,12,deny,manual,7.74,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGAMEC.JPG,1,"Amethyst, Chevron Nugget bracelet",FALSE,active
jbgbto-black-tourmaline-gemstone-bracelet,Black Tourmaline gemstone bracelet,"A simple one size fits most bracelet made of Black Tourmaline with many beads showing inclusions of White, Blue, Red and Brown Tourmaline. Each bracelet is a unique work of natural art. Tumbled beads are strung on a durable elastic band. Unstretched - 3""",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,Best Sellers,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGBTO,90,shopify,49,deny,manual,11.63,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGBTO.jpg,1,Black Tourmaline gemstone bracelet,FALSE,active
jbgcar-carnelian-gemstone-bracelet,Carnelian gemstone bracelet,"A simple and understated, yet elegant and powerful focus for your energy and meditations. One size fits most. Stones vary from the average 3/8"" slightly. Elastic, Carnelian. 3""",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGCAR,72,shopify,50,deny,manual,7.74,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGCAR.jpg,1,Carnelian gemstone bracelet,FALSE,active
jbgcit-citrine-gemstone-bracelet,Citrine gemstone bracelet,"This Citrine bracelet is not only beautiful it carries many magical and healing benefits. Citrine is manifesting stone that will help bring abundance and wealth. Helps study and learning, good for relationships, and new beginnings.",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Abundance, Prosperity, & Money,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGCIT,72,shopify,100,deny,manual,14.23,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGCIT.jpg,1,Citrine gemstone bracelet,FALSE,active
jbghem-hematite-man-made-gemstone-bracelet,Hematite (man-made) gemstone bracelet,"A simple and understated, yet elegant and powerful focus for your energy and meditations. One size fits most. Stones vary from the average 3/8"" slightly. Elastic, Hematite (man-made). 3""",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGHEM,90,shopify,45,deny,manual,9.04,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGHEM.jpg,1,Hematite (man-made) gemstone bracelet,FALSE,active
jbglab-labradorite-gemstone-bracelet,Labradorite gemstone bracelet,"A simple and understated, yet elegant and powerful focus for your energy and meditations. One size fits most. Stones vary from the average 3/8"" slightly. Elastic, A particularly useful stone to have near in places where interpersonal interactions are likely to become charged, this stone can help modulate the flow of energy between individuals to calm moods and open communication, believed to be a to clear balance, protect the aura, excellent for general protection.",AzureGreen,Metaphysical Supplies,"Bracelets & Anklets,All Jewelry,Stone & Crystal Chip & Nugget Bracelets,Stone & Crystal Beaded,Bracelets,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,JBGLAB,72,shopify,6,deny,manual,7.74,,TRUE,TRUE,,https://www.azuregreen.net/images/JBGLAB.jpg,1,Labradorite gemstone bracelet,FALSE,active
