Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
gwwor-inspirational-word-worry-stone-various-words,Inspirational Word worry stone (various words),"These stones have an array of colors, they are engraved with several motivational and inspirational words, such as Breathe, Namaste, Love, Prosperity, Blessed Be, Protection, Peace, Success, Dream, Health, Money, and Healing. Rub in your palm, hold in your hand, keep in your pocket or keep the inspiration of the stone anywhere around your aura. Also excellent as a gift for many reasons. Sold variously. A flat stone, each having it's own natural shape, size from 1"" to 1 3/4"", just the right size, not to big, not to small. Our choice, 1 stone.",AzureGreen,Metaphysical Supplies,"Worry & Palm Stones,Mixed & Assorted Variety,Earth Relics,The Way to Resonance",TRUE,Title,Default Title,GWWOR,36,shopify,245,deny,manual,7.74,,TRUE,TRUE,,https://www.azuregreen.net/images/GWWOR.jpg,1,Inspirational Word worry stone (various words),FALSE,active
h16actcp-activated-charcoal-powder-1oz,Activated Charcoal powder 1oz,"Activated Charcoal is a fine, odorless powder with a wide range of medicinal and cosmetic uses as a potent natural treatment. Using Charcoal in your craft  corresponses with unity, purification, banishing, cleansing, protection. It is also a commonly used incense ingredient to aid in burning. 1oz powder form to be stored in an airtight container with a very long shelf life.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Shells, Stands, Charcoal, Sand & Feathers,Cleansing & Purification,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,All Herb Accessories,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ACTCP,45,shopify,134,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HACTCP.jpg,1,Activated Charcoal powder 1oz,FALSE,active
h16agrc-agrimony-cut-1oz-agrimonia-eupatoria,Agrimony cut 1oz  (Agrimonia eupatoria),"Agrimony also known as cocklebur and liverwart, originated in Europe. Believed to be the ""universal antidote"" in ancient Greece. With several medicinal properties, one being a treatment for acne, rashes and skin issues. Magically it is used as a shield for yourself against threats, curses, crossing, negativity and is very protective. 1oz in cut & sifted form providing a sweet scent. To be stored in a cool dark place in a sealed container.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Curses, Crossing & Hexing,Negativity & Bad Luck,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16AGRC,45,shopify,104,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HAGRC_B.JPG,1,Agrimony cut 1oz  (Agrimonia eupatoria),FALSE,active
h16alfc-alfalfa-cut-1oz-medicago-sativa,Alfalfa cut 1oz  (Medicago sativa),"Alfalfa Leaf also known as Medicago Sativa or Lucerne. Originating in the United States and is a common grazing crop for livestock having an abundance of minerals and vitamins. In magic uses is used for abundance, success, money, prosperity, and anti-hunger. 1oz cut & sifted leaf with a green fresh scent. Store in a tightly sealed container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Money & Success,Good Luck, Prosperity & Manifesting,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ALFC,136,shopify,29,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HALFC_B.JPG,1,Alfalfa cut 1oz  (Medicago sativa),FALSE,active
h16angc-angelica-root-cut-1oz-angelica-archangelica,Angelica Root cut 1oz (Angelica archangelica),"Angelica Root also known as archangelica officinalis, wild celery, root of the Holy Ghost or Angel of Herbs, originating in Europe. Archangel Michael had a dream that angelica was the antidote for the plague. Used as a fixative due to its presence of the fatty acid exaltolide. Magical uses include protection against negative energy, purification, uncrossing, curses, hexes. Promotes healing, temperance, induces visions and to bring back a lost love. 1oz root cut with a warm sweet scent with a hint of licorice.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Cleansing & Purification,Curses, Crossing & Hexing,Negativity & Bad Luck,Healing & Health,Love, Attraction & Relationships,Intuition, Visions & Astral Travel,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ANGC,68,shopify,104,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HANGC_B.JPG,1,Angelica Root cut 1oz (Angelica archangelica),FALSE,active
h16anisw-anise-star-whole-1oz-illicium-verum,Anise Star whole 1oz  (Illicium verum),"Anise Star also known as Illicium Verum a tree native to Vietnam and China. The oil produced in the star is used for treating colds and flus as well as a host of medicinal purposes. Magically it is used to help ward of the evil eye and disturbing dreams. May assist with finding happiness, stimulating psychic abilities, purification, and a restorer of youth. Used also to invoke Mercury and Apollo. 1oz in whole star form to be stored in an airtight container away from heat and light.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Cleansing & Purification,Protection & Evil Eye,Healing & Health,Psychic Powers/Development & Divination,Dreams & Sleep,Peace, Happiness & Relaxation,Youth & Beauty,Evil Eye Products,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ANISW,90,shopify,142,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HANISBB.jpg,1,Anise Star whole 1oz  (Illicium verum),FALSE,active
h16arap-arabic-gum-powder-1oz-acacia-species,Arabic Gum powder 1oz (Acacia species),"Arabic Gum powder known also as meska or acacia gum. Native to a tree in Africa and the Middle East. Used as a binder and thickening agent in the food industry and also used to make water color paints and incense. In magic is may be used for protection, money, love, friendship, psychic and spiritual growth, and also in meditations. 1oz in powder form with no noticeable scent that is best to store in an airtight container in a cool, dark cabinet.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Peace, Happiness & Relaxation,Wisdom & Spiritual Growth,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ARAP,45,shopify,33,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HARAP_B.JPG,1,Arabic Gum powder 1oz (Acacia species),FALSE,active
h16ashrp-ashwagandha-root-powder-1oz,Ashwagandha root powder 1oz,"Ashwagandha or withania somnifera also known as winter cherry and Indian ginseng. Used in India for more than 5,000 years. In Ayurveda this is used to recover from periods of stress or trauma. Great for memory recall as well. In magick it is used as a potent remedy in love, attraction, aphrodisiac spells, supports brain function and is a nourishing herb. Strong, bitter, and slightly sweet smell. Store in an airtight container away from light, heat, and humidity. Powder form 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Love, Attraction & Relationships,Peace, Happiness & Relaxation,Blocks, Obstacles & Change,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ASHRP,90,shopify,49,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HASHRP_B.jpg,1,Ashwagandha root powder 1oz,FALSE,active
h16barrbc-barberry-root-bark-cut-1oz-berberis-vulgaris-wildcrafted,Barberry Root Bark cut 1oz (Berberis vulgaris) Wildcrafted,"Wildcrafted Barberry root bark also known as berberis vulgaris, European barberry, Pepperidge Bush, or Wood Turmeric. Native to Europe, Asia and Africa commonly from a hedge plant. Used to make a dye tint for cotton, wool, and leather. In magic it is referred to as ""witches sweets"" and can aid you in courage, strength, motivation, cleansing, sorcery and freeing yourself from the control of others. 1oz in cut form with no noticeable scent to be stored in an airtight container in a cool, dry place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Cleansing & Purification,Vitality, Strength & Courage,Energy, Power & Motivation,Empower Spells & Sorcery,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BARRBC,45,shopify,24,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBARRBC.jpg,1,Barberry Root Bark cut 1oz (Berberis vulgaris) Wildcrafted,FALSE,active
h16baslc-basil-leaf-cut-1oz,Basil Leaf cut 1oz,"Basil or Ocimum Basilicum also known as King of Herbs, is part of the Mint family originating in the United States. Used widely in the culinary field and a popular herb historically for a wide variety of ""superstitions"". In magical practice it can be used in spell work around protection, love, money, love, vitality, restoring peace in relationships and is a natural remedy for chronic fatigue. To be stored in a sealed container in a cool dark place. 1oz in leaf cut form",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Negativity & Bad Luck,Money & Success,Love, Attraction & Relationships,Vitality, Strength & Courage,Energy, Power & Motivation,Peace, Happiness & Relaxation,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BASLC,90,shopify,31,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBASLC.jpg,1,Basil Leaf cut 1oz,FALSE,active
h16bayw-bay-leaves-whole-1oz-laurus-nobilis,Bay Leaves whole 1oz  (Laurus Nobilis),"Bay leaves also known as Laurus Nobilis or bay laurel and worn in ancient Greece as wreaths recognizing higher learning and athletics. Known for enhancing memory making it a great learning tool. Magically it is great for good fortune, success, strength, healing, psychic power, and under the pillow may give you prophetic dreams. Write your wish on the leaves and burn them to help them come true! Placing them in the corners of your room is said to keep your home protected. 1oz in leaf form with a pleasant odor. Store in a sealed container away from direct light, heat and moisture, can last for several years but may have color fading.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Money & Success,Healing & Health,Psychic Powers/Development & Divination,Vitality, Strength & Courage,Good Luck, Prosperity & Manifesting,Dreams & Sleep,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BAYW,136,shopify,113,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBAYWBB.jpg,1,Bay Leaves whole 1oz  (Laurus Nobilis),FALSE,active
h16beaw-bearberry-mexican-whole-1oz-uva-ursi,Bearberry mexican whole 1oz (Uva Ursi),"Wild Crafted Bearberry or known as Uva Ursi leaf, is an evergreen plant originally from Spain. Popular berry amongst the bears as they snack on the red berries hence the name. Bearberry as long been used in the Native American culture in religious ceremonies and in making salves and topical ointment medicinally. Magically it is used to increase intuition and psychic powers. 1oz in leaf form with no traceable scent and to be stored in a cool, dark place in a sealed container. Wild Crafted",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Healing & Health,Psychic Powers/Development & Divination,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BEAW,90,shopify,42,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBEAW_B.JPG,1,Bearberry mexican whole 1oz (Uva Ursi),FALSE,active
h16beepg-bee-pollen-geanules-1oz,Bee Pollen Geanules 1oz,"Bee Pollen granules originating in China. This nutrient dense substance is used worldwide in recipes due to the incredible amount of nutrition in small amounts. In magical practices in can be used to improve energy, physical endurance and memory. 1oz in granule form to be stored in a sealed container away from direct light, heat and moisture. Bee Pollen will last longest if kept in the refrigerator.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Healing & Health,Energy, Power & Motivation,Focus, Mental Powers & Memory,NEW Weekly Email Products,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BEEPG,45,shopify,50,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HBEEPGB.jpg,1,Bee Pollen Geanules 1oz,FALSE,active
h16beepy-beeswax-pellets-yellow-1oz,Beeswax pellets yellow 1oz,"Considered a symbol of purity and light in many spiritual traditions, its use can help honor deities or create an atmosphere for meditation and prayer. 

Is thought to purify the air and to promote a sense of calm and serenity. This is why many people use beeswax in meditation and yoga practices. The natural fragrance of beeswax is also believed to have a soothing effect on the mind and body.

Used cosmetically, Beeswax hydrates, conditions, soothes, and calms the skin. It exfoliates, repairs damage, promotes the skin's regeneration, diminishes the appearance of the signs of aging, soothes itchiness and irritation, and creates a hydrating, long-lasting protective barrier against environmental pollutants.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Healing & Health,Energy, Power & Motivation,Focus, Mental Powers & Memory,NEW Weekly Email Products,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BEEPY,45,shopify,32,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBEEPY_H_16.jpg,1,Beeswax pellets yellow 1oz,FALSE,active
h16betrw-beth-root-whole-1oz,Beth Root whole 1oz,"Beth Root whole also know as Trillium Pendulum originated in North America. Traditionally, a potent aid in turning back the curses and hexes of black magic. It is also used in protective magic around self and family. Assisting by repelling negative energy or bad luck. Also good for love, passion, connection and setting boundaries. To be stored in a dry area. Wild Crafted 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Curses, Crossing & Hexing,Negativity & Bad Luck,Money & Success,Love, Attraction & Relationships,Energy, Power & Motivation,Good Luck, Prosperity & Manifesting,Empower Spells & Sorcery,All Herb Accessories,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BETRW,226,shopify,10,deny,manual,22.04,,TRUE,TRUE,,https://www.azuregreen.net/images/HBETRW_H_16.jpg,1,Beth Root whole 1oz,FALSE,active
h16birbc-birch-bark-cut-1oz,Birch Bark cut 1oz,"Associated with beauty and tolerance, the Birch's vibration heightens tolerance of oneself and others. Know for being associated with purification, exorcism, represents renewal, rebirth, banish fears and build courage, and beginnings. Helps ward off the evil eye, protect against lightning. carried for protection in small pouches as well as given to newlyweds for fertility. 1oz cut and sifted",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Cleansing & Purification,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Vitality, Strength & Courage,New Beginnings, Rebirth, & Fertility,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16BIRBC,45,shopify,10,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HBIRBC.jpg,1,Birch Bark cut 1oz,FALSE,active
