Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
dridset0ta-rider-waite-deck-book-by-pamela-colman-smith,Rider-Waite (deck & book) by Pamela Colman Smith,"Celebrating the rich history and divinatory quality of the Rider-Waite Tarot this set contains the full Wait Deck, The Key to the Tarot and a divinatory chart. 160 page book by A.E. Waite with a forward by Liz Greene included. Includes 78 cards and an instructional booklet. Cards measure 2.75"" x 4.75""",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRIDSET0TA,453,shopify,3,deny,azuregreen,58.82,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDSET0TA.JPG,1,Rider-Waite (deck & book) by Pamela Colman Smith,FALSE,active
dridwai2ta-rider-waite-tarot-deck-by-pamela-colman-smith,Rider-Waite tarot deck by Pamela Colman Smith,"Standing the test of time with influences from Qabbalah and the Occult, the Rider-Waite Tarot is the world's most popular tarot deck among readers, seers and collectors alike.  3"" x 5"". Includes 78 cards and an instructional booklet.",AzureGreen,Metaphysical Supplies,"Tarot Decks,Best Sellers,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRIDWAI2TA,317,shopify,49,deny,azuregreen,49.75,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDERWAITE.JPG,1,Rider-Waite tarot deck by Pamela Colman Smith,FALSE,active
dridwai3-rider-waite-pocket-tarot-deck-by-pamela-colman-smith,Rider-Waite Pocket tarot deck by Pamela Colman Smith,"Here is the world's most popular tarot deck, the Rider-Wait Tarot, provided for you in a convenient pocket-sized edition.  2 1/4"" x 3 1/2"" Includes 78 cards and an instructional booklet.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",FALSE,Title,Default Title,DRIDWAI3,181,shopify,0,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDWAI3.jpg,1,Rider-Waite Pocket tarot deck by Pamela Colman Smith,FALSE,active
dridwaibl-black-rider-waite-tarot-deck,Black Rider-Waite tarot deck,"Discover the timeless magic of the classic Rider-Waite Tarot deck, now enhanced with stunning black gold foil that brings the artwork to life. These durable, waterproof cards are not only easy to clean but also designed to withstand the test of time, making them perfect for both beginners and seasoned readers. Each set comes with a stylish storage box, making it super convenient to carry your cards wherever you go. Dive into your tarot journey with this beautiful deck that combines tradition with modern flair!",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRIDWAIBL,453,shopify,21,deny,azuregreen,54.29,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDWAIBL.jpg,1,Black Rider-Waite tarot deck,FALSE,active
dridwaigo-gold-rider-waite-tarot-deck,Gold Rider-Waite tarot deck,"Discover the timeless magic of the classic Rider-Waite Tarot deck, now enhanced with stunning gold foil that brings the artwork to life. These durable, waterproof cards are not only easy to clean but also designed to withstand the test of time, making them perfect for both beginners and seasoned readers. Each set comes with a stylish storage box, making it super convenient to carry your cards wherever you go. Dive into your tarot journey with this beautiful deck that combines tradition with modern flair!",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRIDWAIGO,453,shopify,17,deny,azuregreen,54.29,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDWAIGO.jpg,1,Gold Rider-Waite tarot deck,FALSE,active
dridwaikit-rider-waite-tarot-deck-kit,Rider-Waite tarot deck Kit,"Dive into the mystical realm with the Black Gold Foil Tarot Kit, your ultimate companion for enhancing your divination journey. This stunning set features 78 beautifully crafted cards adorned with black and gold foil, perfect for tapping into your intuition and uncovering the universe's secrets. The kit comes complete with a 2.5"" bell to set the mood, two card holders for easy reading, and two feathers to channel your energy. Plus, it includes a luxurious velvet tarot bag and a spacious divination cloth, making it a stylish and functional addition to your spiritual practice.",AzureGreen,Metaphysical Supplies,"Tarot Decks,Tarot & Oracle Deck Sets & Starter Kits,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRIDWAIKIT,771,shopify,23,deny,azuregreen,83.75,,TRUE,TRUE,,https://www.azuregreen.net/images/DRIDWAIKIT.jpg,1,Rider-Waite tarot deck Kit,FALSE,active
drobwoo-robin-wood-tarot-by-robin-wood,Robin Wood Tarot by Robin Wood,"Vibrant with nature imagery and energies that enchant and excite both Pagans and non-Pagans, the entire Robin Wood Tarot, using more current symbolism to bring to life the minor Arcana. Includes 78 cards and an instructional booklet.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DROBWOO,272,shopify,6,deny,azuregreen,56.64,,TRUE,TRUE,,https://www.azuregreen.net/images/DROBWOO.JPG,1,Robin Wood Tarot by Robin Wood,FALSE,active
drostar-rosebud-tarot-by-harper-stilwell,Rosebud Tarot by Harper & Stilwell,"The rose is a through line in The Rosebud Tarot, a rose-gold thread weaving its way into each line of the Major Arcana and into the heart of every Minor. The playfulness and sharp edges of the rose shimmer through every reading, each card's dream-layer collage a petal of insight. The Rosebud Tarot is a 78-card tarot deck bases on the structure found in the classic Rider-Waite-Smith. Its exquisite images are digital collages, created by Amanda Lee Stilwell, which offer a dreamscape of pathways into the tarot.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DROSTAR,408,shopify,3,deny,azuregreen,61.09,,TRUE,TRUE,,https://www.azuregreen.net/images/DROSTAR.jpg,1,Rosebud Tarot by Harper & Stilwell,FALSE,active
drunbox-runes-with-box,Runes with Box,"Bring new energy to your divination, magic, and meditation practices with runes. Made of high-quality wood, these deluxe wooden runes are a step above the standard version. Whether you're asking questions about relationships, career prospects, or big decisions, these runes provide insightful guidance when you need it most. You can also use these runes to read for others, whether you choose to read for friends or on a professional basis is up to you! 5x5x3 inches.",AzureGreen,Metaphysical Supplies,"Runes & Rune Products,Oracle Decks & Reading Cards,All Divination,Runes & Gaming Dice,Runes,All Tarot & Oracle Decks and Sets,Viking & Celtic Products,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRUNBOX,589,shopify,4,deny,azuregreen,74.69,,TRUE,TRUE,,https://www.azuregreen.net/images/DRUNBOX.jpg,1,Runes with Box,FALSE,active
drunora-rune-oracle-cards-by-cosimo-musio,Rune Oracle cards by Cosimo Musio,"The runes are an ancient and powerful set of symbols originating in northern Europe. Discover how this magical alphabet can help you channel the sacred wisdom of the Norse gods. As a divination system, meditation tool, or a talisman, the Rune Oracle Cards can be used to illuminate your life and manifest transformation. Includes 24 cards and a guidebook.",AzureGreen,Metaphysical Supplies,"Runes & Rune Products,Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Viking & Celtic Products,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRUNORA,317,shopify,4,deny,azuregreen,45.22,,TRUE,TRUE,,https://www.azuregreen.net/images/DRUNORA.jpg,1,Rune Oracle cards by Cosimo Musio,FALSE,active
