Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
h16mulc-mullein-leaf-cut-1oz-verbascum-thapsus,Mullein Leaf cut 1oz  (Verbascum Thapsus),"Wild Crafted Mullein leaf often called Velvet Dock or Velvet Plant originated in Eastern Europe. Used as a candlestick by the Romans. Useful in preventing nightmares when put under your pillow, protection, health, love, divination, and exocism. May help harness courage and also can drive your enemies away. Pleasant scent and makes a great incense. Contains astringent and emollient compounds as well as other healing properties. 1oz cut leaf to be kept in a sealed container away from direct sunlight, heat, and moisture. Wild Crafted",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Best Sellers,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Healing & Health,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Vitality, Strength & Courage,Dreams & Sleep,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16MULC,136,shopify,154,deny,azuregreen,6.69,,TRUE,TRUE,,https://www.azuregreen.net/images/HMULC_B.JPG,1,Mullein Leaf cut 1oz  (Verbascum Thapsus),FALSE,active
h16musbs-brown-mustard-seed-1oz,Brown Mustard Seed 1oz,"Whole Brown Mustard seeds from the fruit of Brassica Nigra. An ancient spice dating back at least 5,000 years. This spice has a mild scent however, when heated up, or ground will produce a stronger smell. Used widely in the culinary, cosmetic field and in some gardens to deter small animals. In conjure work its magickal use is for shadow work and dark magic. 1oz Whole seeds to be stored in a container with a tight seal in a cool, dark cabinet.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Good Luck, Prosperity & Manifesting,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16MUSBS,45,shopify,43,deny,azuregreen,6.69,,TRUE,TRUE,,https://www.azuregreen.net/images/H_16_MUSBS.jpg,1,Brown Mustard Seed 1oz,FALSE,active
h16neep-neem-powder-1oz,Neem Powder 1oz,"Neem powder is a species of evergreen tree in the mahogany family has a long history of use for various applications. Used as an organic pest control and as a chemical free fertilizer.Neem powder is valued in magical practices for protection, purification, and clarity, often used to sweep away unwanted energy and strengthen spiritual boundaries. Its cleansing nature also supports practical uses like skin-care pastes, hair treatments, and household blends, making it a dependable ally for both ritual work and everyday herbal routines. 1oz in powder form",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,All Herb Accessories,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16NEEP,68,shopify,38,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HNEEP_H_16.jpg,1,Neem Powder 1oz,FALSE,active
h16netc-nettle-stinging-leaf-cut-1oz-urtica-dioica,"Nettle ""Stinging"" Leaf cut 1oz  (Urtica dioica)","Nettle leaf also known as Urtica Dioica or Stinging Nettle, originating in Easter Europe. Nettle is an annual herb that is related to the rose. Used historically medicinally and in foods for a variety of uses. In magic Nettle can be used in work around protection, healing, lust, and for exorcisms. 1oz cut form with a green scent, to be stored in a sealed container away from direct light and humidity.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Healing & Health,Sexual Functions, Lust, & Virility,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16NETC,90,shopify,96,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HNETC_Bt.jpg,1,"Nettle ""Stinging"" Leaf cut 1oz  (Urtica dioica)",FALSE,active
h16nutw-nutmeg-whole-1oz,Nutmeg whole 1oz,"Whole Nutmeg also known as Myristica fragrans, originating in Sri Lanka. This spice was highly sought after historically. Grated fresh in the culinary field mainly in deserts, breads as well as tea and coffee. The magical properties of Nutmeg may yield you luck in love and money. 1oz Whole form to be stored in an airtight container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Good Luck, Prosperity & Manifesting,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16NUTW,45,shopify,32,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HNUTWB.jpg,1,Nutmeg whole 1oz,FALSE,active
h16orac-orange-peel-cut-1oz-citrus-sinensis,Orange Peel cut 1oz  (Citrus sinensis),"Orange Peel also known as Citrus Sinensis or Sweet Orange. Native to the United States and used in a variety of ways from culinary to decorating. In magic it is a great ingredient in spells involving love, divination, luck and money. 1oz. in cut form with a citrus scent. Store in an airtight container.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Money & Success,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Good Luck, Prosperity & Manifesting,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ORAC,68,shopify,29,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HORAC_Bt.jpg,1,Orange Peel cut 1oz  (Citrus sinensis),FALSE,active
h16paref-parsley-egyptian-flat-1oz,Parsley Egyptian Flat 1oz,"Parsley, a member of the carrot family and most popular herb throughout the world. Originating in the United States this herb has a variety of uses in the culinary world and the cosmetic industry. Fragrant with magical and spiritual properties, carrying the energy of power, prosperity, protection as well as purification. 1oz Leaf flakes to be stored in an airtight container away from sun, humidity, and heat.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Good Luck, Prosperity & Manifesting,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PAREF,45,shopify,36,deny,azuregreen,6.69,,TRUE,TRUE,,https://www.azuregreen.net/images/HPAREFB_16.jpg,1,Parsley Egyptian Flat 1oz,FALSE,active
h16patlw-patchouli-leaf-wh-1oz,Patchouli Leaf wh 1oz,"Patchouli Leaf whole also known as Pogostemon Cablin, part of the mint family. Known for its aromatic fragrance and valued for the oil it produces. It is said that by smelling patchouli it will help balance and calm your emotions while uplifting your energy. Patchouli is popular in spell work around fertility, prosperity, grounding, manifesting, peace, and as an aphrodisiac aiding in love spells. 1oz in leaf form",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Money & Success,Healing & Health,Love, Attraction & Relationships,Energy, Power & Motivation,New Beginnings, Rebirth, & Fertility,Sexual Functions, Lust, & Virility,Good Luck, Prosperity & Manifesting,Dreams & Sleep,Peace, Happiness & Relaxation,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PATLW,90,shopify,121,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HPATLWB.jpg,1,Patchouli Leaf wh 1oz,FALSE,active
h16penc-pennyroyal-leaf-cut-1oz-mentha-pulegium,Pennyroyal Leaf cut 1oz (Mentha pulegium),"Pennyroyal also known as Menth Pulegium, Mosquito Plant, Pudding Grass, or Squaw Mint. Used in Ancient Greece to flavor wines and puddings and early American colonists used this to keep fleas and pest away. In magic it can make a powerful ingredient in strength, protection, and peace spell work. 1oz in cut form with a strong peppermint scent. Store in a sealed container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Protection & Evil Eye,Vitality, Strength & Courage,Peace, Happiness & Relaxation,Empower Spells & Sorcery,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PENC,90,shopify,42,deny,azuregreen,6.69,,TRUE,TRUE,,https://www.azuregreen.net/images/HPENC_Bt.jpg,1,Pennyroyal Leaf cut 1oz (Mentha pulegium),FALSE,active
h16pepc-peppermint-leaf-cut-1oz-mentha-piperita,Peppermint Leaf cut 1oz (Mentha piperita),"Peppermint Leaf also known as Mentha Piperita and is originally native to Asia and Europe. Used widely to infuse oils for perfumes and cosmetics. In Magic practices it is used in spellwork around healing, purification, psychic power, sleep, healing, love and energy. 1oz in cut form with a minty fresh aroma to be stored in an airtight container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Cleansing & Purification,Healing & Health,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Energy, Power & Motivation,Dreams & Sleep,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PEPC,90,shopify,129,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/HPEPC_B.jpg,1,Peppermint Leaf cut 1oz (Mentha piperita),FALSE,active
